owner,name,url,description,run_count,created_at,visibility,github_url,paper_url,license_url
anthropic,claude-4.5-sonnet,https://replicate.com/anthropic/claude-4.5-sonnet,"Claude Sonnet 4.5 is the best coding model to date, with significant improvements across the entire development lifecycle",8,2025-09-29T20:46:51.550751Z,public,,,
andyx1976,trkgys,https://replicate.com/andyx1976/trkgys,,423,2025-03-30T17:40:05.615185Z,public,,,
ldecarmine,lendecarmine-replicate,https://replicate.com/ldecarmine/lendecarmine-replicate,AI Avatar Clone,34,2025-07-22T21:52:27.638895Z,public,,,
runwayml,gen4-image-turbo,https://replicate.com/runwayml/gen4-image-turbo,"Gen-4 Image Turbo is cheaper and 2.5x faster than Gen-4 Image. An image model with references, use up to 3 reference images to create the exact image you need. Capture every angle.",45757,2025-08-11T10:03:42.385155Z,public,,,
codingdudecom,flux-kontext-stencil-lora,https://replicate.com/codingdudecom/flux-kontext-stencil-lora,,13,2025-09-29T17:25:29.300371Z,public,,,
mirelo,video-to-sfx,https://replicate.com/mirelo/video-to-sfx,"Generate synced sounds for any video, and return it with its new sound track",829,2025-09-17T07:59:16.196590Z,public,,,
pixverse,pixverse-v4.5,https://replicate.com/pixverse/pixverse-v4.5,"Quickly make 5s or 8s videos at 540p, 720p or 1080p. It has enhanced motion, prompt coherence and handles complex actions well.",162089,2025-05-15T17:27:50.189392Z,public,,,https://docs.pixverse.ai/PixVerse-Platform-Terms-of-Service-1773e99bf35080c6a802fae0e3629708
paragekbote,gemma3-torchao-quant-sparse,https://replicate.com/paragekbote/gemma3-torchao-quant-sparse,"An optimized gemma-3-4b setup with INT8 weight-only quantization, torch_compile and sparsity for efficient inference.",14,2025-09-09T18:00:22.087434Z,public,,,
luma,reframe-image,https://replicate.com/luma/reframe-image,Change the aspect ratio of any photo using AI (not cropping),37342,2025-06-12T04:16:09.092317Z,public,,,
pixverse,pixverse-v4,https://replicate.com/pixverse/pixverse-v4,"Quickly generate smooth 5s or 8s videos at 540p, 720p or 1080p",28959,2025-05-07T12:39:01.063365Z,public,,,https://docs.pixverse.ai/PixVerse-Platform-Terms-of-Service-1773e99bf35080c6a802fae0e3629708
